ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV2669,0.665328234,,,,
ASV2672,-17.9531643,,,,
ASV2673,2.718880307,,,,
ASV2681,4.661360135,,,,
ASV2685,-1.352568434,1.234239056,-1.095872334,0.275293231,0.773881503
ASV2698,-0.907227952,,,,
ASV2708,0.806389971,,,,
ASV2718,-1.903615531,,,,
ASV2722,1.087982205,,,,
ASV2724,-18.25979623,,,,
ASV2725,-2.520355517,,,,
ASV2730,-20.20008375,,,,
ASV2732,-5.142799807,,,,
ASV2733,-2.178483066,,,,
ASV2737,0.030669212,6.235491171,0.004918492,0.996083661,
ASV2739,-1.310952289,,,,
ASV2750,-1.298192333,,,,
ASV2754,0.847475408,,,,
ASV2771,2.27608279,,,,
ASV2775,-2.210084093,,,,
ASV2780,-22.85650792,,,,
ASV2781,-1.13578635,1.138215131,-0.997866149,0.320319343,0.816883406
ASV2782,-0.728533224,,,,
ASV2784,-0.203303916,,,,
ASV2791,3.545154117,,,,
ASV2794,1.024414178,0.680797942,1.504725726,0.134979154,0.545626256
ASV2797,0.190182144,,,,
ASV2808,4.270269961,,,,
ASV2811,-0.873449632,,,,
ASV2819,2.091476272,,,,
ASV2821,2.788480209,,,,
ASV2830,4.29428546,,,,
ASV2838,-17.80034154,,,,
ASV2840,-18.58904711,,,,
ASV2843,1.955279789,,,,
ASV2845,-3.625093008,,,,
ASV2848,-0.12322384,0.447550193,-0.275329654,0.783528753,0.969817912
ASV2850,2.501691402,,,,
ASV2855,-18.55647217,,,,
ASV2856,15.33078695,,,,
ASV2865,0.320141076,0.73209708,0.437293202,0.662671827,0.95014982
ASV2866,-1.002025088,0.822706872,-1.217961247,0.225589002,0.722435052
ASV2869,-0.450031785,,,,
ASV2871,0.264492618,,,,
ASV2879,1.19225612,,,,
ASV2883,-3.223252691,,,,
ASV2887,-0.221630426,0.524269484,-0.422741419,0.673228108,0.95014982
ASV2891,-0.597519576,0.885164865,-0.675037611,0.500929201,0.894113872
ASV2901,-1.590804174,1.534927074,-1.036403749,0.302063702,0.799675421
ASV2902,-3.983765615,,,,
ASV2906,-5.666134071,1.896179619,-2.98818425,0.003393985,0.047708853
ASV2907,-2.115628722,,,,
ASV2908,-0.678587951,,,,
ASV2912,-4.46658096,,,,
ASV2914,-0.923172294,,,,
ASV2917,-3.807239279,,,,
