ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV6490,1.204683858,2.918413652,0.41278722,0.680422241,
ASV6491,0.776758173,2.975056053,0.261090265,0.794423741,
ASV6498,-4.332544998,,,,
ASV6500,-4.011383196,,,,
ASV6504,-4.335979755,,,,
ASV6507,-0.909466898,0.497099242,-1.829547946,0.069540418,0.435584235
ASV6508,4.489446839,4.431790958,1.013009612,0.312881213,
ASV6515,-0.283542419,1.474078635,-0.192352302,0.847757456,0.941629169
ASV6516,1.141782205,2.926155659,0.390198724,0.697009168,
ASV6517,-4.669592388,,,,
ASV6519,-15.8330115,,,,
ASV6520,4.694553433,,,,
ASV6521,-19.94164889,529062.1069,-3.77E-05,0.999969982,
ASV6525,-3.070191365,,,,
ASV6533,-4.343306001,,,,
ASV6546,-2.133295069,1.908071835,-1.118037083,0.265551562,
ASV6552,1.531231516,2.089276,0.732900543,0.464899229,
ASV6553,-17.11686979,308180.4324,-5.55E-05,0.999955767,
ASV6556,-0.093180381,3.016942779,-0.030885697,0.975406651,
ASV6569,-0.734414523,1.286524619,-0.570851512,0.56905639,
ASV6570,-6.089200084,,,,
ASV6572,2.216750401,2.860122389,0.775054386,0.439673082,
ASV6577,7.523677559,1.175006526,6.403094276,2.37E-09,
ASV6584,-4.711031741,,,,
ASV6585,-14.04976442,25805.02126,-0.000544459,0.999566395,
ASV6603,2.077460854,2.077473771,0.999993782,0.319115884,
ASV6604,-5.093896676,,,,
ASV6606,-2.298190537,,,,
ASV6608,-5.19672964,,,,
ASV6612,-13.30824721,,,,
ASV6629,1.413544427,0.701461777,2.015141057,0.045890294,0.336829245
ASV6648,-0.070738993,2.379421122,-0.029729497,0.97632702,
ASV6651,-0.294344413,0.770057858,-0.38223675,0.70289131,0.941629169
ASV6661,-13.49688558,28697.59079,-0.000470314,0.999625443,
ASV6671,-2.979158255,,,,
ASV6673,0.21464473,0.769606527,0.27890191,0.780750069,0.941629169
ASV6674,0.706211656,1.347544569,0.524072949,0.601093573,
ASV6676,2.304265507,0.944396097,2.439935439,0.01599689,0.161588756
ASV6677,-3.908614801,,,,
ASV6684,1.083479273,0.92524776,1.171015289,0.243670793,0.789853955
ASV6687,-1.957368974,1.558873061,-1.255630765,0.211434923,
ASV6694,2.963315182,2.350310998,1.260818328,0.209565163,
ASV6695,-14.91722149,36961.69041,-0.000403586,0.999678585,
ASV6697,21.20814993,370429.4534,5.73E-05,0.999954404,
ASV6708,0.158310644,1.256167695,0.12602668,0.8998997,
ASV6713,-16.52340248,,,,
ASV6717,-4.069631587,,,,
ASV6740,2.664905447,3.263708281,0.816526852,0.415648099,
ASV6744,-0.25758121,1.166817553,-0.220755344,0.825618941,
ASV6748,0.599873539,3.526722254,0.170093786,0.865192918,
ASV6755,-16.73447969,387561.1705,-4.32E-05,0.999965612,
ASV6764,7.187470065,1.969615957,3.649173352,0.000375828,
ASV6777,-5.444036669,,,,
ASV6779,-14.54294935,23819.25186,-0.000610554,0.999513756,
ASV6784,-20.54431375,417273.9644,-4.92E-05,0.99996079,
ASV6790,6.499185299,1.383716113,4.696906568,6.46E-06,
ASV6792,5.613818289,1.45688379,3.853305477,0.000179966,
ASV6799,1.423078414,2.163416166,0.657792262,0.511800042,
ASV6809,6.20033189,,,,
ASV6814,-19.45517845,,,,
ASV6829,-4.972317241,,,,
ASV6833,-5.896181231,0.959203602,-6.146954849,8.47E-09,
ASV6834,-0.668247907,3.033140662,-0.220315502,0.825960754,
ASV6843,-4.435703655,,,,
ASV6851,4.432562881,1.498833909,2.95734094,0.00366873,
ASV6859,-0.033726309,2.979973856,-0.011317653,0.990986845,
ASV6863,0.184205492,0.797206016,0.231063851,0.817617632,0.941629169
ASV6864,-19.8733901,,,,
ASV6890,1.166222315,1.627996829,0.716354168,0.475019293,
ASV6893,-17.66645647,99721.59748,-0.000177158,0.999858912,
ASV6894,0.239256801,1.132339726,0.211294186,0.832978727,0.941629169
ASV6895,-4.763263587,1.340202694,-3.554136706,0.000524401,
